IMG_MA00.jpg,00 the fool,"The time to start is now. Big hopes, blind luck."
,00 the fool reversed,"Prepare yourself to start. Pack your bags, check your water supply."
IMG_MA01.jpg,01 the magician,"Magic is energy with purpose, believe in your own power, call on your allies and make it happen."
,01 the magician reversed,"If you feel disillusioned, clarify your intentions with yourself. Tap into your own self-worth and know that you are entitled to your own power."
IMG_MA02.jpg,02 high priestess,"You know the darkness, you know the light, behind your eyelids is your eyesight. Let the priestess in and feel more aware of living, loving, and being."
,02 high priestess reversed,"You may feel out of sync with your intuition or your guides, spend quiet time remembering what you really want."
IMG_MA03.jpg,03 the empress,"Luscious softness is in your air tonight, dance with your earthly riches and let yourself be."
,03 the empress reversed,Are you withholding from your garden or the earth? Remember the ebb and flow of natural energy.
IMG_MA04.jpg,04 the emperor,You can build what you need from the resources at hand. you are capable and in charge.
,04 the emperor reversed,"It's okay to feel let down, make peace here and come back when you are ready to work things out diplomatically."
IMG_MA05.jpg,05 hierophant,What benefit do you find in conforming to the collective? Which history was written to hold you inside it? Put your voice inside the system to be heard.
,05 heirophant reversed,"Breaking free of the system, coloring outside the lines, leaving the church behind."
IMG_MA06.jpg,06 hey lover,"To connect, to love in the endless cycle of loving, fucking and tumbling into each other and back out again. This is where our souls merge."
,06 hey lover reversed,"There is some disconnect, some discontent. It's not all there, if it was once or never has been. Reach outside the bubble you have made."
IMG_MA07.jpg,07 the chariot,"Driving horses of darkness and light doesn't guarantee success, but it's a pretty good omen. Willpower is the key."
,07 the chariot reversed,All your plans feel like they are falling apart. Go back to the last place you felt secure and work from there. 
IMG_MA08.jpg,08 strength,"You have grit. Tame the lion inside you with gentleness, when hard times come, know that you are enough."
,08 strength reversed,Your courage is failing you. Treat what feels like weakness with gentleness and ask your community to help you move through tough times.
IMG_MA09.jpg,09 the hermit,Take all the time you need to look inside.
,09 the hermit reversed,"Perhaps you have been spending too much time with other people, or you are feeling isolated. Remember to be a good partner to yourself."
IMG_MA10.jpg,10 wheel of fortune,"Events are changing outside of your control, the wheel of life turns and you can adapt to change, as you have before and will again. "
,10 wheel of fortune reversed,"Are you struggling against external changes? Ask yourself why, and challenge yourself to adapt."
IMG_MA11.jpg,11 justice,You are acting in balance. Remember that judging others is only another form of self-reflection. You have the knowledge to act with integrity.
,11 justice reversed,"Acknowledge where you may have made mistakes, seek balance to feel at peace again. "
IMG_MA12.jpg,12 hanged man,Take no action and find peace in discomfort. The answer is found after relinquishing control.
,12 hanged man reversed,"Stop struggling to find the answer, it will come to you once you relax."
IMG_MA13.jpg,13 death,The garden must die back in the winter to be reborn in the spring. The snake sheds its skin and makes room for new growth.
,13 death reversed,Are you trying to keep something from dying? Make peace with letting go and sitting fallow so new growth can come forth next season.
IMG_MA14.jpg,14 temperance,Just dip your toe in to see how it feels. Mixing elements from all areas of your life puts you in peace and balance.
